ngay_dat_mua,ma_don_hang,khach_hang,tong_gia_tri_hang
9/13/20,CA-2020-136728,Arthur Gainer,178
7/26/20,CA-2020-136735,Helen Andreada,168
5/8/20,CA-2020-136798,Daniel Lacy,546
5/23/20,CA-2020-136805,Nathan Mautz,926
2/6/20,CA-2020-137064,Trudy Schmidt,692
12/20/20,CA-2020-137071,Emily Ducich,101
3/31/20,CA-2020-137106,Scott Cohen,80
12/1/20,CA-2020-137113,Tamara Willingham,4211
12/15/20,CA-2020-137225,Jim Kriz,3
6/13/20,CA-2020-137281,Barbara Fisher,6
4/26/20,CA-2020-137302,Bart Watters,486
5/7/20,CA-2020-137512,Anna Gayman,260
1/13/20,CA-2020-137526,Philip Brown,612
9/19/20,CA-2020-137603,Marc Harrigan,8
11/22/20,CA-2020-137708,Nathan Gelder,114
6/25/20,CA-2020-137750,Jill Fjeld,205
11/14/20,CA-2020-137897,Patrick Jones,135
11/30/20,CA-2020-137925,Janet Lee,705
9/1/20,CA-2020-137946,Doug Bickford,979
4/16/20,CA-2020-137974,Lauren Leatherbury,2299
9/6/20,CA-2020-138002,Beth Thompson,198
11/29/20,CA-2020-138009,Sylvia Foulston,1542
3/23/20,CA-2020-138219,Bart Pistole,33
8/7/20,CA-2020-138331,Jim Karlsson,107
9/13/20,CA-2020-138457,Anne McFarland,13
2/27/20,CA-2020-138485,Nora Paige,539
5/15/20,CA-2020-138492,Fred Chung,52
7/17/20,CA-2020-138534,Jessica Myrick,195
11/2/20,CA-2020-138625,Emily Grady,198
11/14/20,CA-2020-138674,Ken Black,260
5/25/20,CA-2020-138898,Justin Hirsh,846
11/15/20,CA-2020-138954,Maya Herman,225
11/22/20,CA-2020-139094,Meg O'Connel,207
6/23/20,CA-2020-139164,Christine Sundaresam,367
7/25/20,CA-2020-139248,Russell D'Ascenzo,624
10/26/20,CA-2020-139290,Maribeth Yedwab,6
9/10/20,CA-2020-139374,Alex Russell,180
8/24/20,CA-2020-139584,Eleni McCrary,310
10/15/20,CA-2020-139731,Joel Eaton,2717
9/25/20,CA-2020-139738,Dana Kaydos,129
12/31/20,CA-2020-139780,Anna H�berlin,116
6/12/20,CA-2020-139850,Giulietta Baptist,64
12/13/20,CA-2020-139962,Dean percer,57
4/7/20,CA-2020-140025,Peter Fuller,847
6/20/20,CA-2020-140144,Stewart Carmichael,384
3/5/20,CA-2020-140221,Maribeth Schnelling,257
10/2/20,CA-2020-140375,Sheri Gordon,27
11/3/20,CA-2020-140410,Corinna Mitchell,1345
9/7/20,CA-2020-140557,Tanja Norvell,560
7/2/20,CA-2020-140718,Frank Atkinson,246
11/30/20,CA-2020-140830,Paul Stevenson,89
2/3/20,CA-2020-140921,Allen Armold,178
9/14/20,CA-2020-140984,Craig Carroll,1884
6/9/20,CA-2020-141012,Trudy Glocke,496
10/9/20,CA-2020-141040,Tim Brockman,656
9/17/20,CA-2020-141145,Denny Blanton,87
1/3/20,CA-2020-141243,Amy Hunt,1758
1/19/20,CA-2020-141250,Paul MacIntyre,302
11/30/20,CA-2020-141327,Lena Radford,440
9/20/20,CA-2020-141565,Barry Gonzalez,1664
12/14/20,CA-2020-141593,Darren Budd,370
11/1/20,CA-2020-141740,Jeremy Farry,205
12/20/20,CA-2020-141754,Evan Minnotte,12
5/25/20,CA-2020-141768,Nora Pelletier,15
11/2/20,CA-2020-141810,Barry Blumstein,374
8/7/20,CA-2020-141936,Parhena Norris,19
4/9/20,CA-2020-142027,Jay Kimmel,370
6/7/20,CA-2020-142041,Eleni McCrary,8
5/8/20,CA-2020-142055,Alejandro Ballentine,38
8/31/20,CA-2020-142139,Shirley Daniels,21
9/18/20,CA-2020-142202,Justin Ritter,717
7/11/20,CA-2020-142237,Clytie Kelty,677
12/4/20,CA-2020-142377,Michael Stewart,86
7/11/20,CA-2020-142419,Shahid Collister,128
4/20/20,CA-2020-142433,Erica Smith,117
8/15/20,CA-2020-142454,Richard Eichhorn,174
12/3/20,CA-2020-142475,Bill Stewart,590
4/18/20,CA-2020-142601,Deanra Eno,1009
10/23/20,CA-2020-142692,Andrew Gjertsen,4
4/16/20,CA-2020-142734,Denise Monton,128
9/4/20,CA-2020-142755,Christine Sundaresam,919
11/28/20,CA-2020-142930,Evan Bailliet,336
12/5/20,CA-2020-142937,Sandra Flanagan,45
3/6/20,CA-2020-142944,John Lucas,1555
10/12/20,CA-2020-142993,Kelly Andreada,100
9/17/20,CA-2020-143077,Sylvia Foulston,29
12/10/20,CA-2020-143105,Matt Abelman,1033
9/24/20,CA-2020-143119,Marc Crier,518
5/26/20,CA-2020-143147,Pamela Stobb,610
9/6/20,CA-2020-143238,Lori Olson,46
7/14/20,CA-2020-143364,Toby Gnade,861
12/6/20,CA-2020-143490,Naresj Patel,339
3/19/20,CA-2020-143532,Dan Campbell,14
4/25/20,CA-2020-143602,Jill Stevenson,14
9/27/20,CA-2020-143616,Saphhira Shifley,99
7/26/20,CA-2020-143700,Alan Shonely,10
6/26/20,CA-2020-143882,Dennis Bolton,43
12/25/20,CA-2020-143980,Jim Kriz,415
5/10/20,CA-2020-144043,Alan Barnes,47
11/29/20,CA-2020-144099,Phillina Ober,4
6/9/20,CA-2020-144190,Nathan Cano,13
5/4/20,CA-2020-144253,Alan Schoenberger,27
8/21/20,CA-2020-144267,Nick Zandusky,632
11/23/20,CA-2020-144274,Pierre Wener,421
12/25/20,CA-2020-144288,Maria Bertelson,20
6/19/20,CA-2020-144302,Maria Etezadi,6
11/5/20,CA-2020-144386,Grant Thornton,25
11/13/20,CA-2020-144519,Arthur Wiediger,404
11/20/20,CA-2020-144652,Skye Norling,19
3/16/20,CA-2020-144722,Monica Federle,43
12/6/20,CA-2020-144806,Gary Hwang,758
12/25/20,CA-2020-144890,Sean Miller,10
12/12/20,CA-2020-145065,Dennis Kane,32
11/27/20,CA-2020-145184,Justin Deggeller,189
11/15/20,CA-2020-145324,Duane Huffman,40
3/16/20,CA-2020-145352,Christopher Martinez,6413
11/16/20,CA-2020-145394,Matt Connell,296
1/30/20,CA-2020-145401,Jeremy Pistek,14
4/12/20,CA-2020-145415,Robert Dilbeck,41
3/24/20,CA-2020-145457,Cathy Prescott,47
11/5/20,CA-2020-145485,Justin MacKendrick,63
10/30/20,CA-2020-145758,Barry Franz�sisch,1036
11/19/20,CA-2020-145814,Katherine Ducich,868
5/1/20,CA-2020-145821,Jennifer Braxton,89
10/5/20,CA-2020-145828,Maria Bertelson,53
5/13/20,CA-2020-145835,Ben Ferrer,238
9/15/20,CA-2020-145849,Carol Triggs,215
2/9/20,CA-2020-146038,Sarah Jordon,204
7/6/20,CA-2020-146087,Paul Prost,302
3/7/20,CA-2020-146255,Eugene Moren,808
1/2/20,CA-2020-146262,Victoria Wilson,1817
5/4/20,CA-2020-146290,Stuart Van,126
11/20/20,CA-2020-146465,Patrick Bzostek,24
11/9/20,CA-2020-146486,Dianna Vittorini,1171
8/24/20,CA-2020-146563,Cassandra Brandow,2645
4/16/20,CA-2020-146675,Sarah Brown,1484
12/14/20,CA-2020-146696,Rick Duston,8
3/10/20,CA-2020-146829,Toby Swindell,1
7/16/20,CA-2020-146948,Michael Granlund,300
6/18/20,CA-2020-147011,Harold Ryan,14
9/19/20,CA-2020-147102,Nicole Hansen,66
8/2/20,CA-2020-147501,Corey-Lock,565
2/7/20,CA-2020-147529,Damala Kotsonis,324
11/10/20,CA-2020-147690,Sam Craven,578
5/31/20,CA-2020-147788,Tamara Manning,1746
9/24/20,CA-2020-147816,Carlos Meador,35
12/15/20,CA-2020-147830,Natalie Fritzler,4190
12/3/20,CA-2020-147851,Mark Packer,11
5/7/20,CA-2020-147879,Chris Cortes,46
7/26/20,CA-2020-148180,Bart Pistole,131
12/13/20,CA-2020-148250,Rachel Payne,147
12/27/20,CA-2020-148376,Arthur Gainer,129
11/7/20,CA-2020-148432,Mike Caudle,33
8/13/20,CA-2020-148495,Sandra Flanagan,32
12/6/20,CA-2020-148628,Katherine Murray,33
7/25/20,CA-2020-148635,Michelle Huthwaite,1289
3/12/20,CA-2020-148705,Evan Bailliet,5
4/17/20,CA-2020-148712,Jessica Myrick,173
12/28/20,CA-2020-148859,Fred Harton,25
10/1/20,CA-2020-148873,Eric Murdock,112
5/26/20,CA-2020-148964,Ruben Dartt,20
9/25/20,CA-2020-149083,Sally Hughsby,480
10/20/20,CA-2020-149097,Stewart Visinsky,440
11/22/20,CA-2020-149300,Brosina Hoffman,33
4/20/20,CA-2020-149342,Theresa Swint,896
7/10/20,CA-2020-149384,Eric Hoffmann,3
9/19/20,CA-2020-149517,Frank Carlisle,61
12/5/20,CA-2020-149566,George Bell,52
1/31/20,CA-2020-149587,Karl Braun,99
5/28/20,CA-2020-149601,Trudy Brown,94
1/6/20,CA-2020-149636,Stefania Perrino,32
10/24/20,CA-2020-149650,Robert Dilbeck,454
4/13/20,CA-2020-149678,Anthony Witt,13
9/18/20,CA-2020-149713,Trudy Glocke,188
9/3/20,CA-2020-149734,Julie Creighton,201
5/31/20,CA-2020-149748,Elizabeth Moffitt,345
1/4/20,CA-2020-149811,Chris Selesnick,72
5/22/20,CA-2020-149846,Sarah Brown,3862
11/13/20,CA-2020-149909,Russell Applegate,211
9/21/20,CA-2020-149972,Cynthia Delaney,609
3/19/20,CA-2020-149993,Guy Armstrong,11
7/2/20,CA-2020-150196,Steven Roelle,19
12/15/20,CA-2020-150308,Rick Reed,246
10/19/20,CA-2020-150413,Cari Schnelling,2
8/13/20,CA-2020-150441,Ralph Arnett,11
9/18/20,CA-2020-150511,Adam Bellavance,19
12/11/20,CA-2020-150560,Shaun Weien,197
10/26/20,CA-2020-150714,Kristen Hastings,1215
3/29/20,CA-2020-150749,Alan Shonely,6
5/3/20,CA-2020-150770,Lena Cacioppo,461
9/6/20,CA-2020-150791,Chuck Clark,272
11/16/20,CA-2020-150875,Heather Kirkland,1001
11/14/20,CA-2020-151043,Maureen Gastineau,48
4/22/20,CA-2020-151253,Annie Zypern,153
9/20/20,CA-2020-151470,Anne McFarland,46
1/17/20,CA-2020-151547,Amy Hunt,89
12/27/20,CA-2020-151589,Richard Eichhorn,436
9/8/20,CA-2020-151624,Victoria Wilson,21
11/19/20,CA-2020-151680,Tony Chapman,142
10/5/20,CA-2020-151722,Ivan Liston,288
3/5/20,CA-2020-151785,Jennifer Jackson,7
4/27/20,CA-2020-151841,Tony Chapman,49
9/25/20,CA-2020-151869,Carlos Soltero,123
7/4/20,CA-2020-152513,Julie Prescott,23
10/17/20,CA-2020-152527,Charlotte Melton,78
2/20/20,CA-2020-152611,Kelly Andreada,287
1/17/20,CA-2020-152681,Scott Cohen,7
10/25/20,CA-2020-152891,Trudy Brown,314
12/18/20,CA-2020-153038,Robert Barroso,95
11/13/20,CA-2020-153073,Helen Abelman,17
3/5/20,CA-2020-153108,Sarah Foster,85
11/12/20,CA-2020-153220,Yoseph Carroll,16
2/29/20,CA-2020-153325,Shui Tom,59
9/24/20,CA-2020-153381,Deanra Eno,1423
8/1/20,CA-2020-153388,Pauline Chand,1012
11/24/20,CA-2020-153416,Toby Swindell,569
6/22/20,CA-2020-153423,Shaun Weien,1218
5/20/20,CA-2020-153535,Sheri Gordon,170
3/29/20,CA-2020-153549,Sara Luxemburg,1167
12/22/20,CA-2020-153612,Beth Thompson,17
7/9/20,CA-2020-153626,Emily Burns,5
12/25/20,CA-2020-153717,Dionis Lloyd,256
9/20/20,CA-2020-153738,Alejandro Grove,38
12/6/20,CA-2020-153752,Rose O'Brian,174
9/11/20,CA-2020-153794,Sean Braxton,266
4/25/20,CA-2020-153878,Trudy Schmidt,330
3/16/20,CA-2020-153906,Michael Stewart,86
12/20/20,CA-2020-154144,Maya Herman,55
6/18/20,CA-2020-154200,Bruce Geld,52
12/21/20,CA-2020-154284,Sam Zeldin,1350
7/25/20,CA-2020-154291,Yana Sorensen,457
2/15/20,CA-2020-154326,Roy Phan,975
11/29/20,CA-2020-154340,Eileen Kiefer,56
12/12/20,CA-2020-154620,Liz Thompson,349
11/14/20,CA-2020-154746,Patrick Jones,860
12/20/20,CA-2020-154795,Gary Zandusky,22
8/21/20,CA-2020-154823,Katherine Nockton,637
11/8/20,CA-2020-154886,Shaun Weien,120
2/25/20,CA-2020-154900,Sung Shariari,26
5/23/20,CA-2020-154921,Erin Ashbrook,187
7/4/20,CA-2020-154956,Irene Maddox,1100
1/5/20,CA-2020-154970,Steven Roelle,62
11/10/20,CA-2020-155040,Alan Hwang,80
6/13/20,CA-2020-155054,Penelope Sewall,106
10/23/20,CA-2020-155068,Ralph Arnett,78
3/15/20,CA-2020-155124,Karen Seio,17
12/27/20,CA-2020-155145,Kean Nguyen,8
4/17/20,CA-2020-155306,George Ashbrook,2573
7/30/20,CA-2020-155334,Helen Andreada,226
8/9/20,CA-2020-155453,Ruben Ausman,5
12/12/20,CA-2020-155586,Xylona Preis,54
12/4/20,CA-2020-155600,Rose O'Brian,1635
5/9/20,CA-2020-155635,Max Engle,49
12/11/20,CA-2020-155761,Stuart Calhoun,206
9/20/20,CA-2020-156013,Tamara Chand,86
12/6/20,CA-2020-156104,Nora Pelletier,1000
12/8/20,CA-2020-156118,Henry Goldwyn,16
10/26/20,CA-2020-156146,Andrew Gjertsen,174
5/31/20,CA-2020-156153,Carl Weiss,8
11/30/20,CA-2020-156328,Raymond Messe,177
9/25/20,CA-2020-156335,Phillina Ober,183
12/31/20,CA-2020-156377,Trudy Brown,18
12/5/20,CA-2020-156440,Matt Hagelstein,44
2/6/20,CA-2020-156482,Ivan Liston,1558
9/25/20,CA-2020-156510,Erica Hackney,63
11/20/20,CA-2020-156524,Dan Lawera,20
10/1/20,CA-2020-156566,Eric Murdock,573
10/24/20,CA-2020-156608,Michelle Tran,4
6/18/20,CA-2020-156734,Benjamin Venier,670
1/12/20,CA-2020-156755,Yana Sorensen,465
12/3/20,CA-2020-156853,Harold Pawlan,185
2/16/20,CA-2020-156923,Sung Pak,36
11/28/20,CA-2020-157028,Michelle Arnett,8
12/9/20,CA-2020-157035,Ken Brennan,34
12/19/20,CA-2020-157084,James Galang,1942
11/28/20,CA-2020-157133,Lena Creighton,152
12/22/20,CA-2020-157287,Harold Ryan,456
7/2/20,CA-2020-157322,Rob Haberlin,1306
6/7/20,CA-2020-157343,Harold Dahlen,52
4/29/20,CA-2020-157434,Jim Kriz,8
12/13/20,CA-2020-157770,Rob Dowd,809
8/31/20,CA-2020-157805,Rick Huthwaite,556
3/22/20,CA-2020-157812,Dean Braden,162
2/3/20,CA-2020-157959,Rick Wilson,137
12/20/20,CA-2020-158148,John Murray,36
11/30/20,CA-2020-158323,Ann Blume,17
6/20/20,CA-2020-158351,Becky Castell,320
9/21/20,CA-2020-158421,Giulietta Baptist,3632
12/24/20,CA-2020-158456,Kean Takahito,66
6/4/20,CA-2020-158491,Becky Pak,1110
11/9/20,CA-2020-158554,Charlotte Melton,11
11/10/20,CA-2020-158659,Steve Chapman,714
1/5/20,CA-2020-158701,James Lanier,144
12/26/20,CA-2020-158792,Brian Dahlen,22
12/20/20,CA-2020-158918,Arianne Irving,17
11/26/20,CA-2020-158939,Erin Ashbrook,600
5/12/20,CA-2020-159380,Cindy Stewart,39
3/20/20,CA-2020-159534,Dave Hallsten,1446
7/18/20,CA-2020-159590,Karen Carlisle,6
9/25/20,CA-2020-159779,Sarah Brown,69
10/12/20,CA-2020-159786,Ralph Kennedy,210
9/4/20,CA-2020-159863,David Smith,134
11/27/20,CA-2020-160059,Thomas Brumley,6
10/19/20,CA-2020-160171,Robert Marley,1911
3/8/20,CA-2020-160213,Anthony Rawles,19
11/2/20,CA-2020-160227,Emily Ducich,2621
7/20/20,CA-2020-160472,Ralph Kennedy,1238
9/6/20,CA-2020-160696,Cyma Kinney,7
9/25/20,CA-2020-160787,Bryan Mills,3
8/6/20,CA-2020-160794,Michael Stewart,27
5/3/20,CA-2020-160864,Nicole Fjeld,14
10/5/20,CA-2020-161214,Sylvia Foulston,78
6/1/20,CA-2020-161242,Catherine Glotzbach,12
4/16/20,CA-2020-161263,Theresa Swint,239
9/7/20,CA-2020-161445,Corey Catlett,141
4/5/20,CA-2020-161452,Carol Adams,892
7/6/20,CA-2020-161627,Sarah Jordon,170
11/28/20,CA-2020-161711,Mark Cousins,130
12/4/20,CA-2020-161718,Sean O'Donnell,795
11/20/20,CA-2020-161767,Grace Kelly,480
12/21/20,CA-2020-161795,Adam Hart,3
9/24/20,CA-2020-161830,Max Engle,51
5/1/20,CA-2020-161998,David Bremer,278
11/3/20,CA-2020-162047,Fred Hopkins,1449
9/8/20,CA-2020-162166,Neoma Murray,68
6/8/20,CA-2020-162201,Andrew Gjertsen,938
8/15/20,CA-2020-162369,Tim Taslimi,323
11/22/20,CA-2020-162376,Harold Dahlen,77
10/28/20,CA-2020-162537,Rob Dowd,105
12/16/20,CA-2020-162544,Sandra Glassco,5
5/12/20,CA-2020-162607,Rose O'Brian,15
9/5/20,CA-2020-162621,Cathy Armstrong,90
10/9/20,CA-2020-162761,Sonia Cooley,50
2/21/20,CA-2020-162782,Pierre Wener,2542
11/7/20,CA-2020-162887,Stewart Visinsky,715
6/28/20,CA-2020-162950,Dorothy Wardle,498
11/12/20,CA-2020-162964,Monica Federle,304
8/9/20,CA-2020-163055,David Smith,647
11/17/20,CA-2020-163090,Greg Hansen,41
3/19/20,CA-2020-163104,Mike Caudle,12
11/7/20,CA-2020-163181,Adrian Barton,671
8/7/20,CA-2020-163237,Eudokia Martin,520
3/22/20,CA-2020-163440,Ruben Dartt,16
3/14/20,CA-2020-163587,Emily Phan,688
6/19/20,CA-2020-163734,Katherine Murray,229
11/27/20,CA-2020-163762,Jeremy Ellison,30
8/7/20,CA-2020-163895,Noel Staavos,3
5/30/20,CA-2020-163923,Brendan Dodson,152
11/20/20,CA-2020-163965,Sung Shariari,378
6/8/20,CA-2020-164007,Maureen Gnade,146
9/7/20,CA-2020-164084,Andy Gerbode,655
3/26/20,CA-2020-164301,Ellis Ballard,3394
7/5/20,CA-2020-164336,Mitch Webber,74
7/31/20,CA-2020-164427,Allen Rosenblatt,240
11/8/20,CA-2020-164441,Amy Cox,70
11/28/20,CA-2020-164497,Ashley Jarboe,45
11/16/20,CA-2020-164539,Philisse Overcash,523
6/15/20,CA-2020-164567,Grace Kelly,226
10/20/20,CA-2020-164623,Maxwell Schwartz,25
1/27/20,CA-2020-164777,Sean Christensen,2804
6/4/20,CA-2020-164833,Lauren Leatherbury,17
10/31/20,CA-2020-164882,Sandra Glassco,2562
12/7/20,CA-2020-165050,Alan Hwang,802
9/11/20,CA-2020-165057,Steven Cartwright,190
12/27/20,CA-2020-165085,Brad Thomas,385
5/14/20,CA-2020-165162,Hunter Glantz,1118
12/21/20,CA-2020-165414,Lynn Smith,48
5/18/20,CA-2020-165554,Anthony Jacobs,11
8/23/20,CA-2020-165624,Fred Harton,1142
6/29/20,CA-2020-165799,Sheri Gordon,118
3/20/20,CA-2020-165813,Bryan Mills,29
10/1/20,CA-2020-166135,Shaun Chance,139
8/28/20,CA-2020-166219,Ben Peterman,1203
12/6/20,CA-2020-166338,Mike Pelletier,15
9/12/20,CA-2020-166464,Paul Gonzalez,493
4/7/20,CA-2020-166492,Resi P�lking,49
6/26/20,CA-2020-166583,Valerie Dominguez,972
5/15/20,CA-2020-166604,Anna H�berlin,18
11/19/20,CA-2020-166800,Aleksandra Gannaway,31
6/5/20,CA-2020-166947,Edward Becker,1523
11/26/20,CA-2020-166975,Stefanie Holloman,692
4/5/20,CA-2020-167010,Valerie Takahito,1636
9/27/20,CA-2020-167255,Rick Huthwaite,175
6/16/20,CA-2020-167269,Philip Brown,6
3/26/20,CA-2020-167374,Gene McClure,57
3/14/20,CA-2020-167479,Arianne Irving,19
9/16/20,CA-2020-167696,Bradley Drucker,31
9/18/20,CA-2020-167745,George Bell,53
10/4/20,CA-2020-168004,Denny Joy,393
3/19/20,CA-2020-168088,Corinna Mitchell,449
9/10/20,CA-2020-168186,Aimee Bixby,15
11/2/20,CA-2020-168207,Liz Thompson,739
5/29/20,CA-2020-168277,Karl Braun,12
11/22/20,CA-2020-168459,Marc Crier,58
9/21/20,CA-2020-168480,Dario Medina,220
10/8/20,CA-2020-168529,Maria Bertelson,146
8/8/20,CA-2020-168564,Thomas Thornton,159
12/6/20,CA-2020-168634,Art Ferguson,8
1/27/20,CA-2020-168746,Seth Vernon,769
9/22/20,CA-2020-168760,Muhammed MacIntyre,61
4/10/20,CA-2020-168767,Dario Medina,13
8/25/20,CA-2020-168809,Mick Crebagga,32
9/28/20,CA-2020-169201,Henry Goldwyn,87
5/21/20,CA-2020-169278,Michelle Ellison,27
8/24/20,CA-2020-169299,Denny Ordway,7
12/24/20,CA-2020-169397,Joni Blumstein,628
9/3/20,CA-2020-169537,John Huston,8
9/6/20,CA-2020-169572,Andy Gerbode,47
8/13/20,CA-2020-169656,Ed Jacobs,423
1/13/20,CA-2020-169677,Karen Seio,10
10/22/20,CA-2020-169733,Gene McClure,10
2/20/20,CA-2020-169740,Liz MacKendrick,30
11/9/20,CA-2020-169796,Dean percer,2340
11/21/21,CA-2021-100041,Barbara Fisher,329
11/25/21,CA-2021-100083,Carol Darley,25
12/14/21,CA-2021-100153,Ken Heidel,64
9/21/21,CA-2021-100244,Greg Maxwell,476
6/25/21,CA-2021-100300,Max Jones,4823
12/16/21,CA-2021-100307,Tony Chapman,19
11/25/21,CA-2021-100468,Alyssa Tate,43
5/13/21,CA-2021-100510,Harry Marie,642
12/11/21,CA-2021-100587,Sara Luxemburg,6
11/2/21,CA-2021-100671,Cindy Schnelling,112
6/27/21,CA-2021-100790,John Grady,719
9/25/21,CA-2021-100944,Edward Hooks,868
7/8/21,CA-2021-100965,Raymond Messe,216
2/5/21,CA-2021-100993,Annie Zypern,919
10/14/21,CA-2021-101161,Bart Watters,280
12/26/21,CA-2021-101168,Saphhira Shifley,21
2/4/21,CA-2021-101189,Jennifer Braxton,93
4/23/21,CA-2021-101329,Michael Moore,35
11/14/21,CA-2021-101336,Cyma Kinney,280
7/18/21,CA-2021-101343,Ruben Ausman,78
7/15/21,CA-2021-101378,Rob Haberlin,29
9/26/21,CA-2021-101385,Julia West,17
2/27/21,CA-2021-101448,Eric Barreto,57
7/3/21,CA-2021-101469,Katherine Hughes,8
5/2/21,CA-2021-101525,Chris McAfee,141
12/19/21,CA-2021-101546,Grace Kelly,1794
2/28/21,CA-2021-101623,Rick Reed,36
2/19/21,CA-2021-101630,Cyma Kinney,34
12/25/21,CA-2021-101651,Sean Christensen,84
10/4/21,CA-2021-101672,Daniel Byrd,1028
6/26/21,CA-2021-101693,Logan Currie,118
9/24/21,CA-2021-101742,Clay Rozendal,11
5/28/21,CA-2021-101791,Brian Stugart,1328
1/7/21,CA-2021-101938,Dianna Wilson,35
7/15/21,CA-2021-101966,Bryan Mills,420
8/20/21,CA-2021-101980,Resi P�lking,449
6/25/21,CA-2021-101987,Hunter Lopez,441
12/10/21,CA-2021-102092,Paul MacIntyre,1057
6/27/21,CA-2021-102127,Victoria Pisteka,199
3/15/21,CA-2021-102134,Sibella Parks,17
9/12/21,CA-2021-102162,Jill Fjeld,1611
2/27/21,CA-2021-102456,Dan Lawera,171
7/25/21,CA-2021-102498,James Galang,73
7/19/21,CA-2021-102561,Neil Knudson,314
12/28/21,CA-2021-102596,Ross DeVincentis,17
12/14/21,CA-2021-102792,Jasper Cacioppo,10
7/3/21,CA-2021-102813,Erin Ashbrook,570
9/20/21,CA-2021-102932,Shirley Daniels,53
9/7/21,CA-2021-102981,Mary O'Rourke,754
7/26/21,CA-2021-103037,Ken Heidel,16
7/5/21,CA-2021-103107,Rick Bensley,275
11/12/21,CA-2021-103128,Sung Chung,14
6/8/21,CA-2021-103163,Frank Merwin,10
12/23/21,CA-2021-103359,Lena Creighton,26
11/19/21,CA-2021-103464,Patrick Gardner,595
9/9/21,CA-2021-103709,Liz Preis,311
6/13/21,CA-2021-103730,Steven Cartwright,488
7/13/21,CA-2021-103891,Kristen Hastings,96
10/4/21,CA-2021-103919,Tracy Poddar,38
4/2/21,CA-2021-103947,Barry Blumstein,62
3/4/21,CA-2021-103982,Alex Avila,4406
8/4/21,CA-2021-104150,Alex Grayson,249
7/26/21,CA-2021-104157,Meg Tillman,2503
11/28/21,CA-2021-104276,Herbert Flentye,448
5/3/21,CA-2021-104311,Adam Shillingsburg,37
6/13/21,CA-2021-104633,Erin Ashbrook,199
12/2/21,CA-2021-104689,Fred Hopkins,23
4/9/21,CA-2021-104969,Eugene Hildebrand,130
7/4/21,CA-2021-104983,Filia McAdams,124
11/29/21,CA-2021-105018,Sally Knutson,7
12/26/21,CA-2021-105081,Joe Elijah,2446
1/3/21,CA-2021-105207,Bill Overfelt,1605
5/21/21,CA-2021-105256,Joe Kamberova,1364
8/7/21,CA-2021-105263,Liz MacKendrick,38
12/5/21,CA-2021-105277,Liz MacKendrick,16
11/25/21,CA-2021-105284,Matthew Grinstein,4
10/31/21,CA-2021-105291,Susan Pistek,4
12/3/21,CA-2021-105354,Pauline Webber,116
8/13/21,CA-2021-105459,Nora Preis,1800
4/17/21,CA-2021-105473,Bryan Mills,29
11/11/21,CA-2021-105494,Pamela Coakley,226
8/27/21,CA-2021-105585,Roland Fjeld,165
5/6/21,CA-2021-105662,Rick Bensley,271
9/14/21,CA-2021-105732,Alejandro Grove,2375
12/31/21,CA-2021-105746,Brian Dahlen,171
10/21/21,CA-2021-105753,Lindsay Castell,61
6/20/21,CA-2021-105760,Karen Carlisle,17
2/16/21,CA-2021-105781,Jill Fjeld,417
12/12/21,CA-2021-105816,Janet Molinari,1045
9/18/21,CA-2021-105900,Brendan Sweed,33
11/16/21,CA-2021-105963,Stewart Carmichael,99
9/19/21,CA-2021-106075,Henry MacAllister,5
10/1/21,CA-2021-106243,Greg Matthias,524
9/3/21,CA-2021-106278,Becky Martin,282
3/9/21,CA-2021-106306,Patrick Gardner,10
10/21/21,CA-2021-106341,Luke Foster,7
3/20/21,CA-2021-106383,Bobby Trafton,72
7/8/21,CA-2021-106397,Max Jones,59
2/19/21,CA-2021-106460,Greg Tran,71
5/9/21,CA-2021-106530,Clay Ludtke,1110
1/17/21,CA-2021-106558,Dionis Lloyd,316
9/30/21,CA-2021-106621,Dario Medina,10
9/24/21,CA-2021-106656,Darrin Van Huff,23
2/7/21,CA-2021-106894,Christina Anderson,108
11/27/21,CA-2021-106915,George Ashbrook,18
9/3/21,CA-2021-106950,Joe Elijah,1854
11/27/21,CA-2021-107104,Maribeth Schnelling,4104
6/18/21,CA-2021-107146,Lena Creighton,749
5/22/21,CA-2021-107202,Linda Cazamias,2396
6/15/21,CA-2021-107216,Paul Van Hugh,54
8/9/21,CA-2021-107328,Cathy Armstrong,1016
6/8/21,CA-2021-107475,Roy Skaria,10
3/23/21,CA-2021-107615,Robert Barroso,59
7/29/21,CA-2021-107783,Olvera Toch,1557
11/21/21,CA-2021-107790,Erica Hackney,151
9/30/21,CA-2021-108056,Erin Smith,859
2/16/21,CA-2021-108105,Giulietta Weimer,324
11/26/21,CA-2021-108196,Cindy Stewart,5017
5/31/21,CA-2021-108210,Annie Thurman,304
5/15/21,CA-2021-108224,Tiffany House,186
6/7/21,CA-2021-108350,Scot Coram,106
12/20/21,CA-2021-108364,Barry Pond,2
12/6/21,CA-2021-108434,James Galang,465
5/21/21,CA-2021-108567,Dean Braden,3
6/21/21,CA-2021-108581,Erin Ashbrook,106
9/30/21,CA-2021-108616,Joe Kamberova,299
11/19/21,CA-2021-108630,Bobby Elias,61
10/1/21,CA-2021-108644,Sarah Jordon,2
4/18/21,CA-2021-108735,Jessica Myrick,257
9/9/21,CA-2021-108868,Ken Black,130
9/25/21,CA-2021-108875,Craig Leslie,532
